name,city,province,certification_date,certifier
177C SRL,VENEZIA,VE,04-09-2025,Bureau Veritas Certification Holding SAS Italy Branch
2NIGHT SPA,Venezia,VE,14-12-2025,UNITER S.r.l.
3P TECHNOLOGIES SRL,SAONARA,PD,01-02-2025,CERTIQUALITY S.r.l.
4Company S.r.l.,Verona,VR,23-01-2025,DASA RÄGISTER S.p.A.
4 Emme Service S.p.a.,Verona,VR,17-02-2026,"Perry Johnson Registrars, Inc."
4 Emme Service S.p.a.,Padova,PD,17-02-2026,"Perry Johnson Registrars, Inc."
4 Emme Service S.p.a.,Treviso,TV,17-02-2026,"Perry Johnson Registrars, Inc."
4MKTG For Marketing S.r.l.,Verona,VR,31-12-2025,SI CERT ITALY S.r.l.
ABACO S.p.A.,MONTEBELLUNA,TV,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Cavallino-Treporti,VE,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Schio,VI,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,PADOVA,PD,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Conegliano,TV,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Cittadella,PD,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Mirano,VE,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,MONTEBELLUNA,TV,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Torri di Quartesolo,VI,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Vittorio Veneto,TV,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Marino,RO,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,San Donà di Piave,VE,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Bassano del Grappa,VI,30-01-2024,CERTIQUALITY S.r.l.
ABACO S.P.A.,Legnago,VR,30-01-2024,CERTIQUALITY S.r.l.
ABAFOODS SRL,BADIA POLESINE,RO,02-12-2024,Bureau Veritas Certification Holding SAS Italy Branch
abanalysis Environmental Science S.r.l.,Nove,VI,17-07-2025,DNV Business Assurance Italy S.r.l.
ABB S.p.A.,Padova,PD,15-11-2023,DNV Business Assurance Italy S.r.l.
ACCENTURE SPA,PADOVA,PD,30-01-2023,Bureau Veritas Italia S.p.A.
ACHAB S.r.l. Società Benefit,Scorzè,VE,16-06-2025,KIWA CERMET Italia S.p.A.
Aci Blueteam S.p.A.,Verona,VR,19-12-2025,DASA RÄGISTER S.p.A.
Aci Blueteam S.p.A.,Conegliano,TV,19-12-2025,DASA RÄGISTER S.p.A.
ACMI LABELLING S.r.l.,Mozzecane,VR,31-01-2025,SGS ICS ITALIA S.R.L.
Acqua Minerale San Benedetto S.p.A.,PAESE,TV,26-11-2025,CSQA Certificazioni S.r.l.
Acqua Minerale San Benedetto S.p.A.,SCORZE',VE,26-11-2025,CSQA Certificazioni S.r.l.
Acquanova S.r.l.,Cassola,VI,02-08-2024,ECO European Certifying Organization S.p.A.
Acquaviva S.p.a. Società Benefit,Branco,TV,29-12-2025,TÜV Rheinland Italia S.r.l.
