organization_name,city,province,region,country,website,organization_type,sector,certification_date,estimated_expiry_date,certifier,source,cis_preselection_notes
SO.GE.DI.CO S.R.L.,Chioggia,VE,Veneto,Italia,,azienda certificata PdR125,,2007-01-26,2010-01-26,DI.QU. S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2007-01-26; scadenza stimata 2010-01-26 assumendo validita triennale; ente certificatore: DI.QU. S.r.l.
SO.GE.DI.CO S.R.L.,Marghera,VE,Veneto,Italia,,azienda certificata PdR125,,2007-01-26,2010-01-26,DI.QU. S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2007-01-26; scadenza stimata 2010-01-26 assumendo validita triennale; ente certificatore: DI.QU. S.r.l.
Cellnex Italia S.p.A.,Marghera,VE,Veneto,Italia,,azienda certificata PdR125,,2022-07-01,2025-07-01,DNV Business Assurance Italy S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-07-01; scadenza stimata 2025-07-01 assumendo validita triennale; ente certificatore: DNV Business Assurance Italy S.r.l.
V.E.R.I.T.A.S. SPA,MESTRE,VE,Veneto,Italia,,azienda certificata PdR125,,2022-10-18,2025-10-18,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-10-18; scadenza stimata 2025-10-18 assumendo validita triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch
V.E.R.I.T.A.S. SPA,SALZANO,VE,Veneto,Italia,,azienda certificata PdR125,,2022-10-18,2025-10-18,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-10-18; scadenza stimata 2025-10-18 assumendo validita triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch
V.E.R.I.T.A.S. SPA,VENEZIA,VE,Veneto,Italia,,azienda certificata PdR125,,2022-10-18,2025-10-18,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-10-18; scadenza stimata 2025-10-18 assumendo validita triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch
V.E.R.I.T.A.S. SPA,SAN DONA’ DI PIAVE,VE,Veneto,Italia,,azienda certificata PdR125,,2022-10-18,2025-10-18,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-10-18; scadenza stimata 2025-10-18 assumendo validita triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch
DAL BEN S.P.A.,SAN STINO DI LIVENZA,VE,Veneto,Italia,,azienda certificata PdR125,,2022-10-19,2025-10-19,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-10-19; scadenza stimata 2025-10-19 assumendo validita triennale; ente certificatore: RINA Services S.p.A.
DAL BEN S.P.A.,SANTO STINO DI LIVENZA,VE,Veneto,Italia,,azienda certificata PdR125,,2022-10-19,2025-10-19,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-10-19; scadenza stimata 2025-10-19 assumendo validita triennale; ente certificatore: RINA Services S.p.A.
VIANINI LAVORI S.p.A.,Bolzano,BL,Veneto,Italia,,azienda certificata PdR125,,2022-10-20,2025-10-20,DNV Business Assurance Italy S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-10-20; scadenza stimata 2025-10-20 assumendo validita triennale; ente certificatore: DNV Business Assurance Italy S.r.l.
C.M. SERVICE S.R.L.,Cavallino Treporti,VE,Veneto,Italia,,azienda certificata PdR125,,2022-11-07,2025-11-07,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-11-07; scadenza stimata 2025-11-07 assumendo validita triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit
UOMO & AMBIENTE Società benefit S.r.l.,PIOMBINO DESE,PD,Veneto,Italia,,azienda certificata PdR125,,2022-11-09,2025-11-09,KIWA CERMET Italia S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-11-09; scadenza stimata 2025-11-09 assumendo validita triennale; ente certificatore: KIWA CERMET Italia S.p.A.
IVH S.r.l.,Venezia,VE,Veneto,Italia,,azienda certificata PdR125,,2022-11-14,2025-11-14,SUSTAINY S.r.l. a Socio unico,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-11-14; scadenza stimata 2025-11-14 assumendo validita triennale; ente certificatore: SUSTAINY S.r.l. a Socio unico
COOP NONCELLO SOCIETA’ - COOPERATIVA SOCIALE - IMPRESA SOCIALE – ONLUS,Portogruaro,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-05,2025-12-05,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-05; scadenza stimata 2025-12-05 assumendo validita triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit
COOP NONCELLO SOCIETA’ - COOPERATIVA SOCIALE - IMPRESA SOCIALE – ONLUS,Treviso,TV,Veneto,Italia,,azienda certificata PdR125,,2022-12-05,2025-12-05,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-05; scadenza stimata 2025-12-05 assumendo validita triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit
AUBAY ITALIA S.P.A,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2022-12-06,2025-12-06,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-06; scadenza stimata 2025-12-06 assumendo validita triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch
Lattanzio Kibs S.p.A. Benefit Corporation,Venezia,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-12,2025-12-12,SQS Italia S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-12; scadenza stimata 2025-12-12 assumendo validita triennale; ente certificatore: SQS Italia S.r.l.
GH VENEZIA S.p.A.,Venezia,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-14,2025-12-14,QUASER CERTIFICAZIONI S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-14; scadenza stimata 2025-12-14 assumendo validita triennale; ente certificatore: QUASER CERTIFICAZIONI S.r.l.
GH VERONA S.r.l.,Sommacampagna,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-14,2025-12-14,QUASER CERTIFICAZIONI S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-14; scadenza stimata 2025-12-14 assumendo validita triennale; ente certificatore: QUASER CERTIFICAZIONI S.r.l.
KOINE' S.R.L.,Martellago,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-14,2025-12-14,SUSTAINY S.r.l. a Socio unico,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-14; scadenza stimata 2025-12-14 assumendo validita triennale; ente certificatore: SUSTAINY S.r.l. a Socio unico
KOINE' S.R.L.,Venezia,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-14,2025-12-14,SUSTAINY S.r.l. a Socio unico,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-14; scadenza stimata 2025-12-14 assumendo validita triennale; ente certificatore: SUSTAINY S.r.l. a Socio unico
BUREAU VERITAS ITALIA SPA,Padova,PD,Veneto,Italia,,azienda certificata PdR125,,2022-12-16,2025-12-16,UNITER S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-16; scadenza stimata 2025-12-16 assumendo validita triennale; ente certificatore: UNITER S.r.l.
BUREAU VERITAS ITALIA SPA,Venezia,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-16,2025-12-16,UNITER S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-16; scadenza stimata 2025-12-16 assumendo validita triennale; ente certificatore: UNITER S.r.l.
CAPGEMINI ITALIA S.P.A,VERONA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-16,2025-12-16,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-16; scadenza stimata 2025-12-16 assumendo validita triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch
CAPGEMINI ITALIA S.P.A,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2022-12-16,2025-12-16,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-16; scadenza stimata 2025-12-16 assumendo validita triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch
CAPGEMINI ITALIA S.P.A,MARCON,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-16,2025-12-16,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-16; scadenza stimata 2025-12-16 assumendo validita triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch
IC OUTSOURCING S.C.R.L.,Padova,PD,Veneto,Italia,,azienda certificata PdR125,,2022-12-19,2025-12-19,UNITER S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-19; scadenza stimata 2025-12-19 assumendo validita triennale; ente certificatore: UNITER S.r.l.
SOCIETA' SOCIOCULTURALE COOPERATIVA SOCIALE,Mira,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-19,2025-12-19,SUSTAINY S.r.l. a Socio unico,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-19; scadenza stimata 2025-12-19 assumendo validita triennale; ente certificatore: SUSTAINY S.r.l. a Socio unico
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2022-12-21,2025-12-21,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-21; scadenza stimata 2025-12-21 assumendo validita triennale; ente certificatore: CERTIQUALITY S.r.l.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,CASTELNUOVO DEL GARDA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-21,2025-12-21,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-21; scadenza stimata 2025-12-21 assumendo validita triennale; ente certificatore: CERTIQUALITY S.r.l.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,VERONA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-21,2025-12-21,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-21; scadenza stimata 2025-12-21 assumendo validita triennale; ente certificatore: CERTIQUALITY S.r.l.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,TREVENZUOLO,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-21,2025-12-21,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-21; scadenza stimata 2025-12-21 assumendo validita triennale; ente certificatore: CERTIQUALITY S.r.l.
PHD S.r.l.,Verona,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-22,2025-12-22,ECO European Certifying Organization S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-22; scadenza stimata 2025-12-22 assumendo validita triennale; ente certificatore: ECO European Certifying Organization S.p.A.
Cooperativa Sociale di Solidarietà Promozione Lavoro,ALTAVILLA VICENTINA,VI,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
