organization_name,city,province,region,country,website,organization_type,sector,certification_date,estimated_expiry_date,certifier,source,cis_preselection_notes
BASTONE SALVATORE SRL,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-06-16,2026-06-16,AFNOR ITALIA S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-16; scadenza stimata 2026-06-16 assumendo validità triennale; ente certificatore: AFNOR ITALIA S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Serenissima Ristorazione S.p.A.,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-06-21,2026-06-21,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-21; scadenza stimata 2026-06-21 assumendo validità triennale; ente certificatore: CSQA Certificazioni S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
NEXUMSTP S.P.A. SOCIETA' TRA PROFESSIONISTI,BRENDOLA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-05,2026-07-05,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-05; scadenza stimata 2026-07-05 assumendo validità triennale; ente certificatore: RINA Services S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
WINTIME S.P.A. - AGENZIA PER IL LAVORO,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-07,2026-07-07,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-07; scadenza stimata 2026-07-07 assumendo validità triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
GEMMO S.P.A.,Arcugnano,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-10,2026-07-10,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-10; scadenza stimata 2026-07-10 assumendo validità triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Deloitte Consulting S.r.l. S.B.,Vicenza,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-20,2026-07-20,BSI Group Italia S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-20; scadenza stimata 2026-07-20 assumendo validità triennale; ente certificatore: BSI Group Italia S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
INSIEME SOCIETA' COOPERATIVA SOCIALE A R.L.,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-21,2026-07-21,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-21; scadenza stimata 2026-07-21 assumendo validità triennale; ente certificatore: RINA Services S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
ALI S.p.A.,Thiene,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-26,2026-07-26,QUASER CERTIFICAZIONI S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-26; scadenza stimata 2026-07-26 assumendo validità triennale; ente certificatore: QUASER CERTIFICAZIONI S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
OTB S.P.A,BREGANZE,VI,Veneto,Italia,,azienda certificata PdR125,,2023-10-03,2026-10-03,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-10-03; scadenza stimata 2026-10-03 assumendo validità triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
GDS LIGHTING S.r.l.,Cornedo Vicentino,VI,Veneto,Italia,,azienda certificata PdR125,,2023-10-09,2026-10-09,DNV Business Assurance Italy S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-10-09; scadenza stimata 2026-10-09 assumendo validità triennale; ente certificatore: DNV Business Assurance Italy S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
